
====================================================================================================
REPORTE FINAL - COMPARACIÓN DE MODELOS
====================================================================================================

📊 MODELO BASE: all-MiniLM-base
   • Accuracy@1: 39.6%
   • Accuracy@5: 64.6%
   • MRR: 0.492
   • Similitud promedio: 50.9%
   • Velocidad: 0.0033s/query

====================================================================================================
📊 RANKING COMPLETO DE MODELOS (ordenados por Accuracy@1)
====================================================================================================

#    Modelo                              Acc@1      vs Base      Acc@5      MRR      Sim Avg    Vel (s)   
----------------------------------------------------------------------------------------------------
🔴 150 bioclinicalbert/model-0_0032        8.3%       -31.2 pp     41.7%      0.197    66.8       0.0054    
🔴 151 bioclinicalbert/model-0_1554        8.3%       -31.2 pp     35.4%      0.150    67.1       0.0047    
🔴 152 bluebert/model-0_1034               8.3%       -31.2 pp     22.9%      0.132    67.1       0.0056    
🔴 153 deberta-v3-conservative/model-0_0002 8.3%       -31.2 pp     14.6%      0.111    82.0       0.0116    
🔴 154 deberta-v3-conservative/model-0_0004 8.3%       -31.2 pp     18.8%      0.118    78.5       0.0117    
🔴 155 deberta-v3-conservative/model-0_0010 8.3%       -31.2 pp     16.7%      0.112    79.2       0.0120    
🔴 156 deberta-v3-conservative/model-0_0027 8.3%       -31.2 pp     16.7%      0.120    79.3       0.0118    
🔴 157 deberta-v3-conservative/model-0_0950 8.3%       -31.2 pp     22.9%      0.136    89.2       0.0124    
🔴 158 deberta-v3-conservative/model-0_0993 8.3%       -31.2 pp     18.8%      0.122    93.1       0.0118    
🔴 159 scibert/model-0_2747                8.3%       -31.2 pp     29.2%      0.144    67.7       0.0051    
🔴 160 biobert-v1.2/model-0_2813           6.2%       -33.3 pp     20.8%      0.107    84.0       0.0053    
🔴 161 bioclinicalbert/model-0_0340        6.2%       -33.3 pp     25.0%      0.116    61.8       0.0054    
🔴 162 biomedical-agressive/model-0_0000   6.2%       -33.3 pp     8.3%       0.073    100.0      0.0060    
🔴 163 deberta-v3-conservative/model-0_0000 6.2%       -33.3 pp     20.8%      0.117    79.7       0.0121    
🔴 164 deberta-v3-conservative/model-0_0000_1 6.2%       -33.3 pp     20.8%      0.118    79.2       0.0119    
🔴 165 deberta-v3-conservative/model-0_0001 6.2%       -33.3 pp     20.8%      0.127    79.6       0.0125    
🔴 166 deberta-v3-conservative/model-0_0041 6.2%       -33.3 pp     18.8%      0.109    76.2       0.0119    
🔴 167 deberta-v3-conservative/model-0_0057 6.2%       -33.3 pp     20.8%      0.118    76.2       0.0119    
🔴 168 deberta-v3-conservative/model-0_0095 6.2%       -33.3 pp     22.9%      0.122    80.9       0.0121    
🔴 169 deberta-v3-conservative/model-0_0123 6.2%       -33.3 pp     18.8%      0.106    79.4       0.0130    
🔴 170 deberta-v3-conservative/model-0_0213 6.2%       -33.3 pp     18.8%      0.101    82.2       0.0120    
🔴 171 deberta-v3-conservative/model-0_0363 6.2%       -33.3 pp     22.9%      0.118    82.0       0.0117    
🔴 172 electra-agressive/model-0_0000      6.2%       -33.3 pp     18.8%      0.103    100.0      0.0063    
🔴 173 paraphrase-agressive/model-0_0000   6.2%       -33.3 pp     18.8%      0.104    100.0      0.0053    
🔴 174 bioclinicalbert/model-0_1698        4.2%       -35.4 pp     33.3%      0.120    72.1       0.0069    
🔴 175 bioclinicalbert/model-0_2932        4.2%       -35.4 pp     22.9%      0.101    80.8       0.0053    
🔴 176 bluebert/model-0_2849               4.2%       -35.4 pp     16.7%      0.087    79.0       0.0056    
🔴 177 deberta-v3-conservative/model-0_0060 4.2%       -35.4 pp     20.8%      0.106    78.0       0.0120    
🔴 178 deberta-v3-conservative/model-0_0678 4.2%       -35.4 pp     27.1%      0.120    84.8       0.0120    
🔴 179 electra-agressive/model-0_1317      4.2%       -35.4 pp     20.8%      0.098    79.9       0.0079    
🔴 180 electra-agressive/model-0_1767      4.2%       -35.4 pp     20.8%      0.090    80.8       0.0074    
🔴 181 pubmedbert-ms/model-0_2918          4.2%       -35.4 pp     35.4%      0.121    82.3       0.0056    

====================================================================================================
📈 ESTADÍSTICAS GENERALES
====================================================================================================

• Total de modelos evaluados: 181
• Modelos que superan al base: 75 (41.4%)
• Rango de Accuracy@1: 4.2% - 70.8%
• Promedio de Accuracy@1: 33.1%
• Promedio de MRR: 0.387

====================================================================================================
🏆 TOP 5 MEJORES MODELOS - ANÁLISIS DETALLADO
====================================================================================================

1. sapbert-umls/model-0_0000
   Ruta: models\sapbert-umls\model-0_0000
   • Accuracy@1: 70.8% (+31.3 pp vs base)
   • Accuracy@5: 79.2%
   • MRR: 0.738
   • Similitud promedio: 55.2%
   • Velocidad: 0.58x más lento que el base
   • Queries no encontradas: 10/48

2. sapbert-umls/model-0_0000_1
   Ruta: models\sapbert-umls\model-0_0000_1
   • Accuracy@1: 70.8% (+31.3 pp vs base)
   • Accuracy@5: 79.2%
   • MRR: 0.738
   • Similitud promedio: 55.3%
   • Velocidad: 0.66x más lento que el base
   • Queries no encontradas: 10/48

3. sapbert-umls/model-0_0001
   Ruta: models\sapbert-umls\model-0_0001
   • Accuracy@1: 70.8% (+31.3 pp vs base)
   • Accuracy@5: 79.2%
   • MRR: 0.740
   • Similitud promedio: 56.2%
   • Velocidad: 0.64x más lento que el base
   • Queries no encontradas: 10/48

4. sapbert-umls/model-0_0009
   Ruta: models\sapbert-umls\model-0_0009
   • Accuracy@1: 70.8% (+31.3 pp vs base)
   • Accuracy@5: 79.2%
   • MRR: 0.743
   • Similitud promedio: 55.5%
   • Velocidad: 0.61x más lento que el base
   • Queries no encontradas: 10/48

5. sapbert-umls/model-0_0183
   Ruta: models\sapbert-umls\model-0_0183
   • Accuracy@1: 70.8% (+31.3 pp vs base)
   • Accuracy@5: 81.2%
   • MRR: 0.743
   • Similitud promedio: 53.7%
   • Velocidad: 0.64x más lento que el base
   • Queries no encontradas: 9/48
