Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score,Keywords_Found,Total_Matches,Unique_Keywords
Que debo hacer en una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,True,2,0.0254,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,9.6102,2,21,2
Cuanto tiempo debe estar monitorizado tras una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,True,True,1,0.0299,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio,4.9953,2,10,2
Busca de la matrona senior de la mater,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,False,False,25,0.0124,Alta del pacient trasplantat hepatic_limpio,3.0344,1,6,1
Cual es el número de emergencia en la sede de maternidad?,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,True,True,1,0.0137,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio,0.8391,1,1,1
Que puedo hacer para favorecer el descanso nocturno de un paciente?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,False,True,3,0.0256,Alta infermeria_limpio,8.3031,1,18,1
Se puede quedar un familiar por la noche?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,False,False,13,0.0159,Aillament social solitud_limpio,2.1562,1,4,1
Que puedo nebulizar de antibiótico?,Administracio dantibiotics via inhalatoria_limpio.txt,False,False,9,0.0160,Alta infermeria_limpio,8.3031,1,18,1
Como nubulizo un atb en un paciente con canula de plata?,Administracio dantibiotics via inhalatoria_limpio.txt,True,True,1,0.0124,Administracio dantibiotics via inhalatoria_limpio,0.8391,1,1,1
Número de busca del equipo de HDOM,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,True,3,0.0288,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,9.1906,2,20,2
A que temperatura se debe guardar el levosimendam?,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,False,54,0.0165,Alta infermeria_limpio,8.3031,1,18,1
Cuando debería usar cámara espaciadora para nebulizar?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,False,39,0.0235,Administracio dantibiotics via inhalatoria_limpio,1.7172,1,3,1
Como se debe colocar la lengua en la nebulización de medicación?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,False,39,0.0149,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Que medicamentos se nebulizan en forma de polvo seco?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,False,9,0.0268,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,9.1906,2,20,2
Como se utiliza la nebulización en forma de polvo seco en monodosis?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,True,4,0.0235,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,2.5953,1,5,1
A cuantos litros se debe poner el aire en la nebulización de medicación?,Administracio de medicaments Via inhalatoria_limpio.txt,False,True,2,0.0192,Administracio de medicaments Via intramuscular_limpio,3.0344,1,6,1
Nebulizo la medicación con oxigeno o con aire?,Administracio de medicaments Via inhalatoria_limpio.txt,False,True,3,0.0176,Administracio de medicaments Via intramuscular_limpio,3.0344,1,6,1
Que podemos administrar por vía  intradérmica?,Administracio de medicaments Via intradermica_limpio.txt,False,False,9,0.0235,Administracio de medicaments Via oral_limpio,8.3516,2,18,2
Como se que he administrado un fármaco intradérmico de forma correcta?,Administracio de medicaments Via intradermica_limpio.txt,False,False,16,0.0270,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,9.1906,2,20,2
Como cargo medicación para administración intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,True,True,1,0.0150,Administracio de medicaments Via intramuscular_limpio,2.1562,1,4,1
Que volumen máximo puedo administrar de forma intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,False,True,2,0.0280,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,9.8734,3,21,3
Como se administra un fármaco en bolus?,Administracio de medicaments Via intravenosa_limpio.txt,True,True,1,0.0060,Administracio de medicaments Via intravenosa_limpio,1.2781,1,2,1
Donde preparo la medicación iv de un paciente domiciliario?,Administracio de medicaments Via intravenosa_limpio.txt,False,False,53,0.0160,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Que tipos de medicación via oftálmica hay?,Administracio de medicaments Via oftalmica_limpio.txt,False,False,43,0.0220,Administracio de medicaments Via oral_limpio,8.7711,2,19,2
Durante cuanto tiempo puedo guardar un colirio para reutilizarlo?,Administracio de medicaments Via oftalmica_limpio.txt,False,True,2,0.0208,Administracio dantibiotics via inhalatoria_limpio,1.7172,1,3,1
Como se si un fármaco está en buen estado?,Administracio de medicaments Via oral_limpio.txt,False,False,61,0.0148,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Como administro un fármaco via oral en un paciente con disfagia?,Administracio de medicaments Via oral_limpio.txt,True,True,1,0.0238,Administracio de medicaments Via oral_limpio,6.2539,2,13,2
Como identifico una pluma de insulina de un paciente?,Administracio dinsulina Via subcutania_limpio.txt,True,True,1,0.0188,Administracio dinsulina Via subcutania_limpio,8.7711,2,19,2
Efectos secundarios de la insulina,Administracio dinsulina Via subcutania_limpio.txt,True,True,1,0.0080,Administracio dinsulina Via subcutania_limpio,7.4250,1,16,1
En cuanto puedo diluir el ferinject?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,True,True,1,0.0113,Administracio segura de ferroterapia intravenosa al domicili_limpio,3.7367,2,7,2
Cuales son los efectos secundarios más importantes del hierro iv?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,False,True,5,0.0260,Administracio de medicaments Via intravenosa_limpio,9.1813,1,20,1
Que debo hacer en caso de tener un paciente en aislamiento social no deseado?,Aillament social solitud_limpio.txt,False,True,2,0.0267,Alta infermeria_limpio,9.1906,2,20,2
A quien se interconsulta si tengo un paciente aislado?,Aillament social solitud_limpio.txt,False,False,74,0.0119,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,1.7172,1,3,1
La rivabirina necesita receta de prosereme?,Alta del pacient trasplantat hepatic_limpio.txt,True,True,1,0.0110,Alta del pacient trasplantat hepatic_limpio,3.3172,2,6,2
Consideraciones al pautar pentamidina,Alta del pacient trasplantat hepatic_limpio.txt,False,True,3,0.0102,Administracio dantibiotics via inhalatoria_limpio,1.2781,1,2,1
Que debo revisar al alta de un paciente de enfermería,Alta infermeria_limpio.txt,True,True,1,0.0220,Alta infermeria_limpio,14.2250,2,32,2
Que puedo prescribir como enfermera al alta?,Alta infermeria_limpio.txt,True,True,1,0.0219,Alta infermeria_limpio,14.2250,2,32,2
Quien da la magnetoterapia?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,False,False,84,0.0055,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Puedo dar magnetoterapia en un paciente con audífonos?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,False,False,84,0.0149,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
